# Name; SpTy; SpTyNum; Teff; Mstar_b15+mesa; Mstar_ll; Mstar_ul; Mstar_b98+mesa; Mstar_b98_ll; Mstar_b98_ul; LogLstar_b15+mesa; LogLstar_ll; LogLstar_ul; LogLstar_b98+mesa; LogLstar_b98_ll; LogLstar_b98_ul
2MASSJ16085953-3856275;M8.5;58.5;2618.583266017328;0.02344037221880449;0.021252649385432264;0.027097175125578406;0.022628994960182322;0.02080784442266256;0.02581420711661538;-2.4471590339489726;-2.550271523337704;-2.3485205583357613;-2.4046838451356676;-2.470906704417493;-2.2925300307297776
AKC2006-18;M6.5;56.5;2814.1020845117528;0.04469290332835445;0.038400300468765435;0.05160418029434556;0.04438164079246555;0.03692823376029611;0.053831262618478495;-2.17193420934033;-2.214713379421207;-2.124333917262976;-1.831612623386628;-1.987668744778465;-1.6683587423050907
Lup706;M7.5;57.5;2721.803040484453;0.03230955661720915;0.027097175125578406;0.038400300468765435;0.03062217037748985;0.02581420711661538;0.03692823376029611;-2.2693537012538467;-2.3485205583357613;-2.214713379421207;-2.1468037166250955;-2.2925300307297776;-1.987668744778465
ISO-Oph 033;M6.5;56.5;2814.1020845117528;0.04469290332835445;0.038400300468765435;0.05160418029434556;0.04438164079246555;0.03692823376029611;0.053831262618478495;-2.17193420934033;-2.214713379421207;-2.124333917262976;-1.831612623386628;-1.987668744778465;-1.6683587423050907
ISO-Oph 023;M7;57.0;2770.236931614866;0.038400300468765435;0.03230955661720915;0.04469290332835445;0.03692823376029611;0.03062217037748985;0.04438164079246555;-2.214713379421207;-2.2693537012538467;-2.17193420934033;-1.987668744778465;-2.1468037166250955;-1.831612623386628
ISO-Oph 030;M6;56.0;2858.473259423381;0.05160418029434556;0.04469290332835445;0.060329491688397185;0.053831262618478495;0.04438164079246555;0.06774976849791002;-2.124333917262976;-2.17193420934033;-2.048196847166788;-1.6683587423050907;-1.831612623386628;-1.4764580867987491
ISO-Oph 033;M8.5;58.5;2618.583266017328;0.02344037221880449;0.021252649385432264;0.027097175125578406;0.022628994960182322;0.02080784442266256;0.02581420711661538;-2.4471590339489726;-2.550271523337704;-2.3485205583357613;-2.4046838451356676;-2.470906704417493;-2.2925300307297776
ISO-Oph 102;M6;56.0;2858.473259423381;0.05160418029434556;0.04469290332835445;0.060329491688397185;0.053831262618478495;0.04438164079246555;0.06774976849791002;-2.124333917262976;-2.17193420934033;-2.048196847166788;-1.6683587423050907;-1.831612623386628;-1.4764580867987491
ISO-Oph 160;M6;56.0;2858.473259423381;0.05160418029434556;0.04469290332835445;0.060329491688397185;0.053831262618478495;0.04438164079246555;0.06774976849791002;-2.124333917262976;-2.17193420934033;-2.048196847166788;-1.6683587423050907;-1.831612623386628;-1.4764580867987491
ISO-Oph 164;M6;56.0;2858.473259423381;0.05160418029434556;0.04469290332835445;0.060329491688397185;0.053831262618478495;0.04438164079246555;0.06774976849791002;-2.124333917262976;-2.17193420934033;-2.048196847166788;-1.6683587423050907;-1.831612623386628;-1.4764580867987491
ISO-Oph 193;M6;56.0;2858.473259423381;0.05160418029434556;0.04469290332835445;0.060329491688397185;0.053831262618478495;0.04438164079246555;0.06774976849791002;-2.124333917262976;-2.17193420934033;-2.048196847166788;-1.6683587423050907;-1.831612623386628;-1.4764580867987491
